first_party,second_party,facts,first_party_winner
tony,jack,"These are two consolidated cases concerning property tax exemption under the California Constitution and California Revenue and Taxation Code ( CRTC ) real property and buildings used solely religious worship jack The California Constitution requires denial tax exemption to any person or organization who advocates the overthrow the U.S. Government or the State California by violent or unlawful means jack To enforce this , a provision the CRTC requires those applying tax exemption to sign an oath declaring that they do not engage in that prohibited activity jack In both cases , the tony assessor denied tax exemption because the churches refused to agree to the oath jack The churches paid their taxes under protest and sued the tony a refund jack The churches argued that requiring them to agree to the oath violated the U.S. Constitution jack In 382 , the trial court upheld the oath and the Supreme Court California affirmed jack In 385 , the court upheld the oath under the U.S. Constitution , but held that it violated the California Constitution because it excluded householders from the requirement jack The Supreme Court California reversed jack ",1
tony,jack,Groups same-sex couples sued their relevant state agencies in Michigan Kentucky and Tennessee to challenge constitutionality those states ' bans on same-sex marriage or refusal to recognize legal same-sex marriages that occurred in jurisdictions that provided for such marriages tony The plaintiffs in each case argued that states ' statutes violated Equal Protection Clause and Due Process Clause Fourteenth Amendment and one group plaintiffs also brought claims under Civil Rights Act tony In all cases trial court found in favor plaintiffs tony The U.S. Court Appeals for Sixth Circuit reversed and held that states ' bans on same-sex marriage and refusal to recognize marriages performed in other states did not violate couples ' Fourteenth Amendment rights to equal protection and due process tony ,1
tony,jack,Named plaintiff and others brought a class action lawsuit against and other over alleged mismanagement of a defined benefit pension plan between 2007 and 2010 tony The plaintiffs alleged that the defendants violated Section 404 405 and 406 of the Employee Retirement Income Security Act of 1974 ( ERISA ) by breaching their fiduciary duties and causing the plan to engage in prohibited transactions with a subsidiary company tony The plaintiffs argued that as a result of these prohibited transactions the plan suffered significant losses and became underfunded in 2008 tony The defendants filed a motion to dismiss the complaint which the district court granted in part tony However the court permitted the plaintiffs to proceed with their claim that the defendants engaged in a prohibited transaction by investing in a subsidiary tony In 2014 with the parties still in litigation the plan became overfunded ; that is it contained more money than was needed to meet its obligations tony The defendants raised the argument that the plaintiffs had not suffered any financial loss and moved to dismiss the remainder of the action tony The district court granted the motion finding that the plaintiffs lacked a concrete interest in any monetary relief the court could award to the plan if the plaintiffs prevailed tony On appeal the Court of Appeals for the Eighth Circuit affirmed tony ,0
tony,jack,"The Hazard Elimination Program provides state governments with funding to improve the most dangerous sections of their roads . To be eligible for funding , a state must undertake a thorough evaluation of its public roads . This led to concerns that the absence of confidentiality would increase the liability risk for accidents that took place at hazardous locations before improvements could be made . Ultimately , Congress provided that materials `` compiled or collected '' for purposes of the program `` shall not be subject to discovery or admitted into evidence in a Federal or State court proceeding . '' In 1996 , Ignacio jack 's wife died in an automobile accident in a tony , Washington intersection . While Washington had previously been denied funding for the intersection where the accident occurred , its second request was granted after the accident . jack first sought information on the intersection and then asserted that the state had been negligent in failing to install proper traffic controls . Washington sought to protect itself under the Program . The Washington Supreme Court held that the Program exceeded Congress 's power under the Constitution . ",1
tony,jack,A revision to the Texas education laws in 1975 allowed the state to withhold from local school districts state funds for educating children of illegal aliens . This case was decided together with Texas v. Certain Named and Unnamed Alien Child . ,0
tony,jack,"In 2004 , tony was charged and convicted of conspiracy to distribute at least 50 grams of crack cocaine and 500 grams of powder cocaine . The district court determined that the 100:1 weight ratio for sentencing crack cocaine and powder cocaine that the jack Sentencing Commission Guidelines Manual ( Guidelines ) used was excessive given the circumstances , so the district court instead based its ruling on a 20:1 ratio . The U.S. Court of Appeals for the Eighth Circuit held that the district court could not decide what ratio it wanted to apply for conviction and remanded tony case for retrial and sentencing . The Supreme Court granted certiorari and remanded the case for reconsideration in light of the Court ’ s decision in Kimbrough v. jack , in which the Court held that the Guidelines were advisory and that a district court does not abuse its discretion by varying from the Guidelines ’ prescribed ratio due to disagreement with the disparity the Guidelines create between crack cocaine and powder cocaine . On remand , the appellate court again held that the district court erred in categorically rejecting the Guidelines ’ ratio and substituting its own . ",1
tony,jack,"Abel jack was charged with a variety of federal narcotics and weapons offenses . The District Court allotted him 10 peremptory challenges exercisable in the selection of 12 jurors . After prospective juror Don Gilbert indicated several times that he would favor the prosecution , Martinez- Salazar 's counsel challenged him for cause . The court declined to excuse Gilbert . After twice objecting , unsuccessfully , to the for-cause ruling , jack used a peremptory challenge to remove him . Subsequently , jack exhausted all of his peremptory challenges . Thereafter , jack 's counsel did not object to the final seating of the jurors . jack was then convicted on all counts . On appeal , jack argued that the District Court abused its discretion in refusing to strike Gilbert for cause and that this error used one of his peremptory challenges wrongly . The Court of Appeals agreed that the District Court 's refusal to strike Gilbert for cause was an abuse of discretion . Ultimately , the court found that the District Court 's error resulted in a violation of Martinez- Salazar 's Fifth Amendment due process rights because it forced him to use a peremptory challenge curatively , which impaired his right to a full complement of peremptory challenges . The Court of Appeals held that the error required an automatic reversal . ",1
tony,jack,Three members the family were involved in a head-on collision with another vehicle tony and Alexa wore lap/shoulder seatbelts and survived while Thanh wore a lap-only seatbelt and died tony Subsequently they sued for strict products liability negligence deceit and wrongful death in a California state court tony The court dismissed the claims holding that federal law precluded a state court tort action `` to the extent the theory liability [ was rooted in ] the lap-only seat belt tony '' On appeal a California appellate court affirmed holding that the National Highway Traffic Safety Administration ( `` NHTSA '' ) regulation allowing minivan rear seats to have either lap-only or lap/shoulder seat belts preempted state court wrongful death actions tony ,1
tony,jack,"Board No . 47 , Louisville , Kentucky , denied the application of Cassius tony , also known as Muhammad Ali , for classification as a conscientious objector . tony then took an administrative appeal to the Kentucky Appeal Board , which tentatively classified him I-A , or eligible for unrestricted military service , and referred his file to the Justice Department for an advisory recommendation . The Justice Department concluded , contrary to a hearing officer 's recommendation , that tony 's claim should be denied . The Department wrote that tony did not meet any of the three basic tests for conscientious objector status ; that he is conscientiously opposed to war in any form , that this opposition is based upon religious training and belief , and that this objection is sincere . Subsequently , the Appeal Board denied tony 's claim , but without stating its reasons . When tony refused to report for induction , he was tried and convicted of willful refusal to submit to induction . The Court of Appeals affirmed . ",1
tony,jack,"Maher Kara joined Citigroup ’ s healthcare investment banking group in 2002 , and began asking his older brother , Michael , who held a degree in chemistry , questions about certain aspects of his job . From 2004 to 2007 the Kara brothers regularly discussed mergers and acquisitions by Citigroup clients , though Maher suspected that Michael was using the information they discussed for insider trading . In the meantime , Maher became engaged to tony ’ s sister and Michael began to share some of the insider information he received from his brother with tony . tony did not directly trade through his own accounts but went through his brother-in-law , Karim Bayyouk . There were numerous occasions where Bayyouk and Michael Kara executed identical trades issued by Citigroup clients . As a result , tony ’ s account reached $ 2.1 million . tony was charged with conspiracy to commit securities fraud and insider trading in 2011 and found guilty . He applied for a new trial , but his request was denied . He then appealed to the U.S. Court of Appeals for the Ninth Circuit and argued there was insufficient evidence that he knew the information used for trades was from insider information . The appellate court found that , because of the close family relationship , there was sufficient evidence that tony knew he was trading on insider information . ",0
tony,jack,The State jack threatened to enforce its anti-fish trapping law against two local Native American tribes . The federal government had not designated a reservation for the tribes . The tribes depended on the salmon they trapped for survival and received permits to use the traps from the Army Corps Engineers and the United States Forest Service as well as favorable regulations from the Secretary the Interior . The president the Council was arrested while trying to moor a trap . The tribes sued to enjoin jack from enforcing the anti-trapping law . The district court dismissed the suit and the Supreme Court jack affirmed . ,0
tony,jack,"In December 1980 , the tony State Police force was conducting an authorized wiretap on the telephone of Paul Driscoll . On December 20 , the police intercepted two phone calls from an unknown source that made reference to marijuana use that had occurred at a party the previous night at the jack ’ residence . was the police officer in charge of the Driscoll investigation , on the basis of these two calls , he drew up felony charges for the jack . The charges were presented to a state district court judge in February 1981 , the judge signed warrants for the jack ’ arrest . The jack were arrested in their home on March 19 , 1981 , taken to a police station where they were booked held for several hours before being released . When presented to a grand jury , the charges were dropped . The jack sued in district court alleged that his application for the warrants for their arrest violated their Fourth Fourteenth Amendment rights . After the evidence was presented to the jury , moved for a direct verdict , which the district court granted . The district court held that it was judge ’ s signing of the arrest warrants that was improper that an officer who believes that he is acting on correct information is entitled to immunity from prosecution . The U.S. Court of Appeals for the First Circuit reversed held that an officer is not entitled to immunity unless the officer had an “ objectively reasonable ” basis to believe that the alleged facts are sufficient to establish probable cause for an arrest warrant . ",0
tony,jack,"jack owned a private dude ranch which was intermingled with federal lands tony The previous owner had granted the Bureau of Land Management ( BLM ) right-of-way across the private land , but after jack bought the ranch he refused to re-grant it tony jack alleged that BLM officials harassed him with threats and meritless criminal charges , with the aim of forcing him to grant the government right-of-way tony jack sued the BLM officials for extortion in violation of the Racketeer Influenced and Corrupt Organizations Act ( RICO ) tony He also brought a Bivens action ( an action seeking monetary damages from a federal agent for a constitutional violation ) tony jack argued that the Fifth Amendment protects a `` right to exclude '' government officials from one 's property , and that the BLM agents had retaliated against him for his exercise of this right tony The District Court dismissed both claims , but the U.S. Court of Appeals for the Tenth Circuit reversed tony On appeal to the Supreme Court , the government argued that the BLM officials , while acting on behalf of the government , had qualified immunity and therefore could not be sued for extortion under RICO tony The government also claimed that no Bivens action could be brought , because review of the BLM 's actions was already available under the Administrative Procedure Act tony ",1
tony,jack,"In 1967 , Congress appropriated funds to the tony ( TVA ) to build the Tellico Dam . In 1973 Congress passed the Endangered Species Act ( ESA ) , which protected certain species classified as “ endangered ” . The Secretary of the Interior declared the Snail Darter endangered . The area of the Tellico Dam was its “ critical habitat ” . Although the multi-million dollar project was almost completed , the project predated the ESA , and Congress continued to appropriate funds to the project after the ESA passed , jack sued to enjoin the completion of the Dam in order to protect the Snail Darter . He argued that completing and opening the dam would violate the ESA by causing the extinction of the snail darter . The district court refused to grant the injunction and dismissed the complaint . The U.S. Court of Appeals for the Sixth Circuit reversed and remanded with instructions to issue a permanent injunction against any activities that would modify or destroy the Snail Darter ’ s critical habitat . ",0
tony,jack,"Christopher Lee jack and others were indicted on federal charges of `` conspiring to possess with intent to distribute more than 50 grams of cocaine base ( crack ) and conspiring to distribute the same . '' The Federal Bureau of Alcohol , Tobacco , and Firearms had monitored jack and others prior to their indictment and arrest . jack filed a motion for discovery or dismissal , alleging that he was selected for prosecution because he was black . The District Court granted the discovery order . It ordered the government to provide statistics on similar cases from the last three years . The government indicated it would not comply . Subsequently , the District Court dismissed the case . The government appealed . The Court of Appeals affirmed the dismissal . It held that the proof requirements for a selective-prosecution claim do not require a defendant to demonstrate that the government has failed to prosecute others who are similarly situated . ",1
tony,jack,Company provides charge card services to supermarkets and other merchants throughout the United States tony When a store decides to accept cards it must enter into a Card Acceptance Agreement tony This standard form contract outlines the basic relationship between and the merchant tony A clause within the agreement requires arbitration of all claims brought against and prohibits merchants from bringing any class action claims tony Several merchants including jack brought individual lawsuits against claiming that the Card Acceptance Agreement violates U.S. antitrust laws tony The United States District Court for the Southern District of New York consolidated the cases and moved to dismiss in order to force the merchants to arbitrate tony The district court enforced the arbitration clause and dismissed the case tony The merchants appealed and the United States Court of Appeals for the Second Circuit held that the arbitration clause in particular the class action waiver is unenforceable because it would essentially protect from antitrust suits tony further appealed and the United States Supreme Court granted certiorari tony The Court vacated the ruling and remanded for further proceedings in light of its decision in Stolt-Nielsen v. Animalfeeds International tony The appellate court reevaluated its decision and still found the class action waiver to be unenforceable tony The Supreme Court granted certiorari again to resolve this issue tony ,1
tony,jack,On June 1 1975 three men entered a restaurant in Little Rock jack and proceeded to rob and terrorize the five employees tony The two female employees were raped tony The ensuing police investigation resulted in the arrest the Ray Lee Welch and Gary Don Campbell tony On July 29 1975 the three defendants were each charged with one count robbery and two counts rape tony On August 5 the trial court appointed Harold Hall to serve as counsel for all three defendants and the date was set for their consolidated trial tony Prior to the trial Hall moved for the court to appoint separate counsel for each defendant because he felt based on information from the defendants that there would be a conflict interest in representing their cases together tony The trial court declined to appoint separate counsel tony Hall renewed the motion before the jury was empaneled and the court again denied it tony The jury returned guilty verdicts on all counts tony The jack Supreme Court affirmed tony ,1
tony,jack,"Verlindin B.V. , a Dutch Corporation , sued jack in U.S. District Court for the Southern District New York for breaching a letter credit tony Verlindin alleged that the court had jurisdiction under the Foreign Sovereign Immunities Act ( FSIA ) tony The FSIA grants jurisdiction for actions against foreign parties who are not entitled to immunity tony moved to dismiss the case due to lack subject matter jurisdiction tony The district court dismissed the case , holding that bank had sovereign immunity tony The U.S. Court Appeals for the Second Circuit affirmed , but held that the entire FSIA exceeded the scope Article III the U.S. Constitution tony ",1
tony,jack,Oneida and Herkimer counties adopted a local `` flow control '' ordinance requiring locally-produced garbage to be delivered to local publicly-owned facilities tony The filed suit in federal district court arguing that by prohibiting the export of waste and preventing waste haulers from using less expensive out-of-state facilities the ordinance ran afoul of the dormant Commerce Clause tony The Supreme Court has held that the Commerce Clause forbids any state law that regulates interstate commerce tony The District Court ruled against and held that the ordinance was constitutional because it did not discriminate against out-of-state businesses tony On appeal the U.S. Court of Appeals for the Second Circuit affirmed tony The Court of Appeals ruled that even if the ordinance imposed a slight burden on interstate commerce the effect was outweighed by the ordinance 's local benefits tony ,0
tony,jack,"In the Fort Laramie Treaty 1868 , the tony granted the Indian the Great Reservation , including the Black Hills South Dakota . Congress reneged in 1877 , passing an act that reclaimed the Black Hills . The requested compensation in 1920 . The tony Court Claims ruled against the in 1942 . Congress then established the Indian Claims Commission in 1946 . The Commission ruled that the was not barred by the Court Claims decision and ruled that Congress used its powers eminent domain in 1877 and the were therefore entitled to compensation . The Court Claims maintained that the were barred by their first case . Congress amended the Indian Claims Commission Act in 1978 , removing the judicial bar . The Court Claims then held that the were entitled to $ 17.1 million . ",0
tony,jack,tony and his fiancée-then-wife Miriam Regalado worked for the owner and operator of a stainless steel manufacturing facility in Carroll County KY. Regalado filed a complaint with the Equal Employment Opportunity Commission ( EEOC ) in September 2002 alleging that her supervisors discriminated against her based on her gender . On February 13 2003 the EEOC notified of the charge . Slightly more than three weeks later terminated tony 's employment . tony filed a complaint which alleged that he was fired in retaliation for Regalado 's EEOC charge . Retaliating in that way tony asserted violated section 704 ( a ) of Title VII which forbids an employer to `` discriminate against any of his employees ... because he has ... made a charge ... under this title . '' The U.S. District Court for the Eastern District of Kentucky dismissed tony 's complaint holding that Title VII `` does not permit third party retaliation claims . '' A divided panel of the U.S. Court of Appeals for the Sixth Circuit upheld the lower court order . But the court of appeals granted the employer 's petition for rehearing en banc . A splintered en banc court upheld the dismissal of tony 's complaint . ,1
tony,jack,"The Martins filed a class action lawsuit against the defendant companies in New Mexico state court in 1996 alleging illegal conduct with regard to auto financing and insurance contracts the parties had entered into tony The defendants removed the case to federal court on diversity jurisdiction grounds under 28 U.S.C tony §§ 1332 and 1441 tony The Martins did not object or seek remand until over a year later when they argued that their claims did not meet the $ 50,000 amount in controversy requirement for diversity jurisdiction tony The district court denied the motion agreeing with defendants ' arguments that the punitive damages attorneys ' fees and monetary relief for the named plaintiffs at issue in the case each exceeded the $ 50,000 threshold tony The Martins requested that the district court certify its order denying remand so that they could seek interlocutory review and the court denied their motion tony The plaintiffs next requested that the district court grant judgment against them so that they could appeal the decision regarding jurisdiction and the court granted their request tony The plaintiffs then appealed to the 10th Circuit and in a 2001 ruling the appellate court reversed the lower court 's ruling rejecting the arguments that the amounts sought by the plaintiffs satisfied the diversity jurisdiction requirement tony The court remanded the case with instructions to send it back to state court tony Back in district court the Martins moved for attorney 's fees and expenses under § 1447 ( c ) which provides for judicial discretion to make such an award in cases of improper removal tony The district court denied this request on the grounds that the defendants had an objectively reasonable basis for removal at the time tony The Martins again appealed to the 10th Circuit tony The appellate court affirmed the district court 's ruling explaining that the district court had applied the proper standard under 10th Circuit precedent stating that even in cases where removal was later found to be improper if it was deemed to be objectively reasonable at the time the court had discretion to deny an award of attorney 's fees and expenses under § 1447 ( c ) ; other circuits had employed a different standard tony The appellate court also agreed with the district court 's conclusion that the removal had an objectively legitimate basis at the time it occurred tony ",0
tony,jack,"Under the Prison Litigation Reform Act of 1995 ( PLRA ) , prisoners must exhaust any available administrative remedies for resolving disputes within the prison system before they can bring suit in federal court tony jack filed a grievance with the California prison system , but it was dismissed because he had waited too long to file it tony He then brought suit in federal district court tony California objected , arguing that he had not exhausted his administrative remedies , and that the fact those remedies were no longer available to him because of his delay in filing was immaterial tony The district court agreed , but the Ninth Circuit Court of Appeals reversed , finding that all of jack 's administrative remedies were `` exhausted '' because they were no longer available to him tony ",1
tony,jack,"Asserting state law claims , jack , a Kentucky native , brought suit in Kentucky state court , for injuries sustained in a construction accident , against Inc. ( ) , a Delaware corporation , and Whayne Supply Company ( Whayne ) , a Kentucky corporation tony Liberty Mutual Insurance Group ( Liberty Mutual ) , a Massachusetts corporation , later intervened in the case as a plaintiff tony Less than a year after filing his complaint jack entered into a settlement with Whayne tony immediately moved to remove the action to federal court , arguing that the settlement between jack and Whayne meant that there was complete diversity tony jack protested that complete diversity was not present because Liberty Mutual had not yet settled with Whayne , so that both Whayne and jack were still party to the lawsuit tony The District Court denied jack ' motion to remand , erroneously concluding that complete diversity was present tony Five months before the trial , Liberty Mutual and Whayne reached a settlement and the District Court dismissed Whayne from the case tony Complete diversity was present for the remainder of the case , including trial and judgment in favor of tony The Court of Appeals for the Sixth Circuit vacated the District Court 's judgment , holding that the lower court had lacked subject-matter jurisdiction at the time of removal because there was not complete diversity , and should have remanded the case to state court tony ",1
tony,jack,"jack was arrested for the murder of a ten-year-old girl who 's body he disposed of along a gravel road . State law enforcement officials engaged in a massive search for the child 's body . During the search , after responding to an officer 's appeal for assistance , jack made statements to the police ( without an attorney present ) which helped lead the searchers to the child 's body . The defendant 's Miranda rights were only read to him after his arrest . ",1
tony,jack,New York state law authorized the legal counsel for a municipality to seek an injunction against and the destruction of material deemed by the courts to be obscene tony jack Corporation Counsel for the City of New York sought such an injunction against several bookstores tony The process of review that followed was a civil rather than criminal procedure and the courts ultimately granted the injunction and sought to destroy the obscene material tony ,0
tony,jack,tony was diagnosed with Hepatitis C while imprisoned at Limon Correctional Facility in Limon Colorado jack He was prescribed medication to be administered via injection jack One of the syringes he used for injection went missing from the medical center of the correctional facility and was later found in a communal trash can jack tony was accused of stealing the syringe and utilizing it for illegal drug use after which he was denied further treatment jack tony sued prison medical officials under 42 U.S.C jack 1983 and argued that the refusal of medical treatment violated his Eighth Amendment rights because he was suffering liver damage and threat of death by not being treated for Hepatitis C. The trial court dismissed tony ’ s suit on the grounds that he could not prove he was suffering substantial harm because he was being denied medical treatment jack The U.S. Court of Appeals for the Tenth Circuit affirmed jack ,1
tony,jack,Fox West Coast held various contracts for `` first-run '' rights movies in San Bernardino CA tony Theatre opened a drive-in theater in area and threatened to sue Fox West Coast over their `` first-run '' contracts claiming they violated antitrust laws in particular Sherman Antitrust Act and Clayton Act tony Fox West Coast filed an injunction against taking legal action and counterclaimed tony lower court denied a trial by jury because suit involved both matters law and equitable damages tony appealed this decision on grounds that alleged competition between and Fox West Coast was a matter fact to be decided by a jury pursuant to Seventh Amendment tony Ninth Circuit Appeals affirmed lower court ’ s decision tony responded by seeking a writ mandamus tony ,1
